Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
31.03.,Coria F.,2,,,,,,2,1,78%,77% (30/39),64% (7/11),0% (0/0),30% (7/23),52% (16/31),43% (3/7),11,6,100% (2/2),74% (37/50),43% (23/54),58% (60/104),8,0,100% (9/9),33% (3/9),67% (12/18),"['4', '3']","['2', '1', '5', '2']",[],[],[],1.43
31.03.,Hemery C.,0,,,,,,0,5,43%,70% (16/23),48% (15/31),57% (4/7),23% (9/39),36% (4/11),0% (0/0),12,20,77% (10/13),57% (31/54),26% (13/50),42% (44/104),2,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.82
30.03.,Hemery C.,2,,,,,,5,2,58%,71% (22/31),68% (15/22),100% (2/2),44% (15/34),53% (8/15),50% (4/8),14,7,56% (5/9),70% (37/53),47% (23/49),59% (60/102),7,0,100% (8/8),50% (4/8),75% (12/16),"['2', '0', '5', '1']","['4', '3', '6', '3']",[],[],[],2.11
30.03.,Moro Canas A.,0,,,,,,1,2,69%,56% (19/34),47% (7/15),50% (4/8),29% (9/31),32% (7/22),0% (0/2),12,9,60% (3/5),53% (26/49),30% (16/53),41% (42/102),3,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.73
26.03.,Kopriva V.,2,,,,,,1,1,72%,76% (29/38),40% (6/15),67% (2/3),40% (16/40),74% (17/23),38% (5/13),66% (35/53),52% (33/63),59% (68/116),5,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0', '4', '1', '6', '1']","['2', '0']",[],[],[],1.28
26.03.,Hemery C.,0,,,,,,1,3,63%,60% (24/40),26% (6/23),62% (8/13),24% (9/38),60% (9/15),33% (1/3),48% (30/63),34% (18/53),41% (48/116),5,0,38% (3/8),13% (1/8),25% (4/16),"['1', '3']",[],[],[],[],3.47
24.03.,Hemery C.,2,,,,,,11,3,63%,78% (29/37),59% (13/22),100% (3/3),38% (10/26),50% (14/28),57% (4/7),71% (42/59),44% (24/54),58% (66/113),6,0,100% (9/9),44% (4/9),72% (13/18),"['7', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],2.82
24.03.,Kovalik J.,0,,,,,,2,1,48%,62% (16/26),50% (14/28),43% (3/7),22% (8/37),41% (9/22),0% (0/3),56% (30/54),29% (17/59),42% (47/113),4,3,56% (5/9),0% (0/9),28% (5/18),[],[],[],[],[],1.43
07.03.,Den Ouden G.,1,,,,,,6,2,64%,64% (25/39),59% (13/22),0% (0/2),42% (13/31),69% (20/29),86% (6/7),62% (38/61),55% (33/60),59% (71/121),10,0,80% (8/10),60% (6/10),70% (14/20),"['1', '1', '5', '5']","['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],1.99
07.03.,Hemery C.,1,,,,,,6,8,52%,58% (18/31),31% (9/29),14% (1/7),36% (14/39),41% (9/22),100% (2/2),45% (27/60),38% (23/61),41% (50/121),0,0,40% (4/10),20% (2/10),30% (6/20),"['1', '0', '2', '1']",[],[],[],[],1.75
05.03.,Hemery C.,2,,,,,,5,2,62%,91% (29/32),60% (12/20),0% (0/0),32% (12/37),56% (15/27),33% (2/6),79% (41/52),42% (27/64),59% (68/116),6,0,100% (10/10),22% (2/9),63% (12/19),"['3', '1']","['4', '3']",[],[],[],1.22
05.03.,Denolly C.,0,,,,,,1,5,58%,68% (25/37),44% (12/27),67% (4/6),9% (3/32),40% (8/20),0% (0/0),58% (37/64),21% (11/52),41% (48/116),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],4.02
04.03.,Hemery C.,2,,,,,,12,5,51%,79% (30/38),58% (21/36),86% (6/7),40% (18/45),32% (8/25),29% (2/7),69% (51/74),37% (26/70),53% (77/144),7,0,91% (10/11),20% (2/10),57% (12/21),"['5', '3']","['5', '4']",[],[],[],1.25
04.03.,Erel Y.,0,,,,,,1,2,64%,60% (27/45),68% (17/25),71% (5/7),21% (8/38),42% (15/36),14% (1/7),63% (44/70),31% (23/74),47% (67/144),3,3,80% (8/10),9% (1/11),43% (9/21),[],"['5', '5']",[],[],[],3.70
25.02.,Neuchrist M.,1,,,,,,1,0,53%,75% (15/20),67% (12/18),100% (2/2),29% (5/17),55% (11/20),67% (2/3),71% (27/38),43% (16/37),57% (43/75),9,0,100% (6/6),33% (2/6),67% (8/12),"['4', '3']","['1', '0']",[],[],[],3.63
25.02.,Hemery C.,0,,,,,,5,1,46%,71% (12/17),45% (9/20),33% (1/3),25% (5/20),33% (6/18),0% (0/2),57% (21/37),29% (11/38),43% (32/75),1,0,67% (4/6),0% (0/6),33% (4/12),[],[],[],[],[],1.26
23.02.,Blancaneaux G.,2,,,,,,4,2,68%,75% (33/44),62% (13/21),100% (1/1),13% (4/31),63% (15/24),50% (2/4),71% (46/65),35% (19/55),54% (65/120),4,0,100% (10/10),22% (2/9),63% (12/19),"['4', '2']","['3', '2']",[],[],[],2.46
23.02.,Hemery C.,0,,,,,,3,7,56%,87% (27/31),38% (9/24),50% (2/4),25% (11/44),38% (8/21),0% (0/1),65% (36/55),29% (19/65),46% (55/120),6,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.51
22.02.,Hemery C.,2,,,,,,11,3,59%,93% (25/27),58% (11/19),0% (0/0),44% (12/27),44% (8/18),50% (3/6),78% (36/46),44% (20/45),62% (56/91),8,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '4', '0']","['5', '4']",[],[],[],1.18
22.02.,Jones M.,0,,,,,,1,2,60%,56% (15/27),56% (10/18),50% (3/6),7% (2/27),42% (8/19),0% (0/0),56% (25/45),22% (10/46),38% (35/91),2,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],4.51
21.02.,Hemery C.,2,,,,,,5,5,60%,68% (26/38),52% (13/25),80% (4/5),32% (12/37),68% (15/22),57% (4/7),62% (39/63),46% (27/59),54% (66/122),7,0,89% (8/9),44% (4/9),67% (12/18),"['4', '2']","['2', '3', '4', '3', '6', '3']",[],[],[],1.49
21.02.,Agamenone F.,0,,,,,,3,4,63%,68% (25/37),32% (7/22),43% (3/7),32% (12/38),48% (12/25),20% (1/5),54% (32/59),38% (24/63),46% (56/122),3,0,56% (5/9),11% (1/9),33% (6/18),[],"['2', '0']",[],[],[],2.51
19.02.,Hemery C.,2,,,,,,14,5,63%,81% (46/57),47% (16/34),67% (4/6),24% (15/63),50% (17/34),33% (2/6),68% (62/91),33% (32/97),50% (94/188),6,0,86% (12/14),14% (2/14),50% (14/28),[],[],"['1', '0', '4', '1']",[],[],2.19
19.02.,Ymer M.,1,,,,,,3,3,65%,76% (48/63),50% (17/34),67% (4/6),19% (11/57),53% (18/34),33% (2/6),67% (65/97),32% (29/91),50% (94/188),4,1,86% (12/14),14% (2/14),50% (14/28),[],"['4', '2', '6', '2']",[],[],[],1.63
09.02.,Herbert P.,2,,,,,,9,6,54%,96% (26/27),48% (11/23),100% (2/2),30% (7/23),45% (9/20),60% (3/5),74% (37/50),37% (16/43),57% (53/93),5,0,100% (9/9),38% (3/8),71% (12/17),"['3', '1', '6', '2']","['4', '2']",[],[],[],1.68
09.02.,Hemery C.,0,,,,,,2,0,53%,70% (16/23),55% (11/20),40% (2/5),4% (1/27),52% (12/23),0% (0/2),63% (27/43),26% (13/50),43% (40/93),5,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.11
08.02.,Bouquier A.,2,,,,,,9,0,72%,81% (47/58),74% (17/23),0% (0/1),21% (16/77),64% (18/28),17% (1/6),79% (64/81),32% (34/105),53% (98/186),8,0,94% (15/16),6% (1/16),50% (16/32),[],[],"['6', '4']",[],[],2.19
08.02.,Hemery C.,1,,,,,,15,4,73%,79% (61/77),36% (10/28),83% (5/6),19% (11/58),26% (6/23),100% (1/1),68% (71/105),21% (17/81),47% (88/186),2,1,94% (15/16),6% (1/16),50% (16/32),[],"['5', '4']",[],[],[],1.63
