Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W35 Collonge-Bellerive (Switzerland),clay,header
ITF WOMEN - SINGLES :  W25 Burnie (Australia),hard,header
ITF WOMEN - SINGLES :  W60 Burnie (Australia),hard,header
03.02.2023,Smith T. N.,0,5,3,,,,"['2', '1']",[],[],[],[],1.73
03.02.2023,Hule P.,2,7,6,,,,"['2', '2', '7', '5']","['4', '2']",[],[],[],1.94
31.01.2023,Smith T. N.,2,7^8,3,6,,,"['1', '0', '3', '2']","['1', '1']","['2', '3', '5', '4']",[],[],2.86
31.01.2023,Sakatsume H.,1,6^6,6,4,,,"['2', '2', '5', '5']","['1', '0', '3', '2', '6', '3']","['3', '1']",[],[],1.38
ITF WOMEN - SINGLES :  W40 Pune (India),hard,header
ITF WOMEN - SINGLES :  W40 Nonthaburi 2 (Thailand),hard,header
ITF WOMEN - SINGLES :  W25 Traralgon 2 (Australia),hard,header
ITF WOMEN - SINGLES :  W25 Traralgon (Australia),hard,header
ITF WOMEN - SINGLES :  W60 Sydney (Australia),hard,header
02.11.2022,Smith T. N.,1,6,2,2,,,"['1', '0', '2', '1', '3', '2', '6', '3']",[],"['1', '1', '2', '4']",[],[],1.99
02.11.2022,Hule P.,2,3,6,6,,,"['1', '1', '2', '2']","['1', '0', '5', '2']","['1', '0', '2', '1', '4', '1', '5', '2']",[],[],1.75
ITF WOMEN - SINGLES :  W60 Playford (Australia),hard,header
25.10.2022,Smith T. N.,0,3,1,,,,"['2', '2']",[],[],[],[],5.65
25.10.2022,Gadecki O.,2,6,6,,,,"['2', '1', '3', '2', '6', '3']","['2', '0', '5', '1']",[],[],[],1.13
ITF WOMEN - SINGLES :  W15 Reims (France),hard,header
ITF WOMEN - SINGLES :  W25 Bendigo 2 (Australia),hard,header
ITF WOMEN - SINGLES :  W25 Bendigo (Australia),hard,header
ITF WOMEN - SINGLES :  W25 Canberra 2 (Australia),hard,header
ITF WOMEN - SINGLES :  W25 Canberra (Australia),hard,header
WTA - SINGLES :  Adelaide 2 (Australia) - Qualification,hard,header
09.01.2022,Smith T. N.,0,2,4,,,,2,4,48%,52% (13/25),44% (12/27),38% (3/8),36% (13/36),37% (7/19),33% (2/6),6,48% (25/52),38% (21/55),43% (46/107),2,44% (4/9),22% (2/9),33% (6/18),[],"['2', '2', '3', '5']",[],[],[],10.00
09.01.2022,Kucova K.,2,6,6,,,,0,1,65%,64% (23/36),58% (11/19),67% (4/6),48% (12/25),41% (11/27),63% (5/8),11,62% (34/55),52% (27/52),57% (61/107),3,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '4', '1']","['2', '1', '3', '2', '5', '2']",[],[],[],1.05
WTA - SINGLES :  Melbourne (Summer Set 2) (Australia) - Qualification,hard,header
03.01.2022,Smith T. N.,0,0,0,,,,0,6,60%,42% (10/24),19% (3/16),33% (3/9),30% (8/27),38% (3/8),0% (0/0),3,33% (13/40),31% (11/35),32% (24/75),0,0% (0/6),0% (0/6),0% (0/12),[],[],[],[],[],6.85
03.01.2022,Tsurenko L.,2,6,6,,,,0,0,77%,70% (19/27),63% (5/8),0% (0/0),58% (14/24),44% (7/16),67% (6/9),7,69% (24/35),68% (27/40),68% (51/75),12,100% (6/6),100% (6/6),100% (12/12),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.06
ITF WOMEN - SINGLES :  W25 Selva Gardena (Italy),hard,header
