Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Todi (Italy),clay,header
26.03. 19:40,Pucinelli de Almeida M.,2,6,6,,,,0,1,56%,71% (25/35),54% (15/28),80% (4/5),47% (15/32),50% (13/26),57% (4/7),6,63% (40/63),48% (28/58),56% (68/121),6,89% (8/9),50% (4/8),71% (12/17),[],['2'],[],[],[],1.72
CHALLENGER MEN - SINGLES :  Asuncion (Paraguay),clay,header
19.03. 05:40,Blancaneaux G.,1,6,3,4,,,3,3,57%,63% (31/49),43% (16/37),29% (2/7),33% (18/54),44% (16/36),67% (4/6),7,55% (47/86),38% (34/90),46% (81/176),4,64% (9/14),29% (4/14),46% (13/28),['1'],['4'],"['1', '3', '5']",[],[],2.06
19.03. 05:40,Pucinelli de Almeida M.,2,3,6,6,,,0,6,60%,67% (36/54),56% (20/36),33% (2/6),37% (18/49),57% (21/37),71% (5/7),9,62% (56/90),45% (39/86),54% (95/176),5,71% (10/14),36% (5/14),54% (15/28),"['2', '3']",[],"['1', '3']",[],[],1.71
CHALLENGER MEN - SINGLES :  New Delhi (India),hard,header
03.03. 14:15,Blancaneaux G.,2,6,6,,,,6,3,68%,67% (32/48),57% (13/23),100% (2/2),29% (7/24),50% (14/28),50% (3/6),5,63% (45/71),40% (21/52),54% (66/123),4,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],2.16
03.03. 14:15,Wong C.,0,4,2,,,,1,2,46%,71% (17/24),50% (14/28),50% (3/6),33% (16/48),43% (10/23),0% (0/2),6,60% (31/52),37% (26/71),46% (57/123),1,67% (6/9),0% (0/9),33% (6/18),['6'],"['4', '6']",[],[],[],1.66
02.03. 15:50,Blancaneaux G.,2,6,6,,,,0,4,70%,70% (35/50),48% (10/21),83% (5/6),26% (9/34),68% (13/19),50% (3/6),5,63% (45/71),42% (22/53),54% (67/124),4,90% (9/10),33% (3/9),63% (12/19),[],['2'],[],[],[],1.70
02.03. 15:50,Boyer T.,0,3,4,,,,1,4,64%,74% (25/34),32% (6/19),50% (3/6),30% (15/50),52% (11/21),17% (1/6),5,58% (31/53),37% (26/71),46% (57/124),2,67% (6/9),10% (1/10),37% (7/19),['2'],"['2', '4']",[],[],[],2.05
01.03. 15:35,Blancaneaux G.,2,7^7,6,,,,2,1,56%,79% (26/33),65% (17/26),50% (1/2),42% (20/48),42% (10/24),60% (3/5),6,73% (43/59),42% (30/72),56% (73/131),3,90% (9/10),30% (3/10),60% (12/20),"['2', '1']",[],[],[],[],1.82
01.03. 15:35,Sekulic P.,0,6^3,2,,,,6,3,67%,58% (28/48),58% (14/24),40% (2/5),21% (7/33),35% (9/26),50% (1/2),5,58% (42/72),27% (16/59),44% (58/131),2,70% (7/10),10% (1/10),40% (8/20),"['1', '1', '4', '5']","['3', '6']",[],[],[],1.90
29.02. 13:10,Blancaneaux G.,2,6,6,,,,2,2,62%,79% (23/29),67% (12/18),100% (1/1),52% (11/21),52% (12/23),57% (4/7),6,74% (35/47),52% (23/44),64% (58/91),9,100% (8/8),57% (4/7),80% (12/15),[],[],[],[],[],3.37
29.02. 13:10,Walton A.,0,3,0,,,,2,0,48%,48% (10/21),48% (11/23),43% (3/7),21% (6/29),33% (6/18),0% (0/1),4,48% (21/44),26% (12/47),36% (33/91),1,43% (3/7),0% (0/8),20% (3/15),['5'],"['1', '3', '5']",[],[],[],1.30
27.02. 16:55,Blancaneaux G.,2,6,2,6,,,4,9,54%,65% (33/51),26% (11/43),56% (9/16),56% (22/39),57% (21/37),62% (8/13),6,47% (44/94),57% (43/76),51% (87/170),3,46% (6/13),62% (8/13),54% (14/26),"['1', '3']","['3', '4', '6']","['1', '3']",[],[],1.83
27.02. 16:55,Echargui M.,1,3,6,3,,,0,5,51%,44% (17/39),43% (16/37),38% (5/13),35% (18/51),74% (32/43),44% (7/16),7,43% (33/76),53% (50/94),49% (83/170),3,38% (5/13),54% (7/13),46% (12/26),"['2', '4', '5']",['2'],"['1', '3', '4', '6']",[],[],1.83
CHALLENGER MEN - SINGLES :  Pune (India),hard,header
