Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
02.10.2024,Oliveira G.,1,5,6,2,,,6,7,61%,70% (38/54),40% (14/35),38% (3/8),26% (11/43),44% (15/34),43% (3/7),58% (52/89),34% (26/77),47% (78/166),3,0,67% (10/15),21% (3/14),45% (13/29),"['2', '0']","['3', '3', '5', '3']",[],[],[],2.63
02.10.2024,Kudla D.,2,7,3,6,,,12,3,56%,74% (32/43),56% (19/34),57% (4/7),30% (16/54),60% (21/35),63% (5/8),66% (51/77),42% (37/89),53% (88/166),7,0,79% (11/14),33% (5/15),55% (16/29),"['4', '5', '6', '5']","['1', '0']","['3', '1', '6', '2']",[],[],1.45
01.10.2024,Oliveira G.,2,6,6,,,,4,1,76%,77% (30/39),50% (6/12),50% (1/2),26% (7/27),64% (21/33),67% (4/6),69% (38/55),47% (28/60),56% (64/115),6,0,89% (8/9),44% (4/9),67% (12/18),"['1', '2', '5', '4']","['1', '0', '4', '1']",[],[],[],2.69
01.10.2024,Zakharov A.,0,4,2,,,,10,10,45%,74% (20/27),36% (12/33),33% (2/6),23% (9/39),50% (6/12),50% (1/2),53% (32/60),31% (17/55),41% (47/115),4,2,56% (5/9),11% (1/9),33% (6/18),"['2', '0']",[],[],[],[],1.43
CHALLENGER MEN - SINGLES :  Nonthaburi 4 (Thailand),hard,header
26.09.2024,Oliveira G.,0,3,0,,,,0,2,59%,63% (12/19),38% (5/13),50% (2/4),11% (2/19),22% (2/9),0% (0/0),53% (17/32),14% (4/28),35% (21/60),2,0,60% (3/5),0% (0/6),27% (3/11),[],[],[],[],[],5.30
26.09.2024,Diallo G.,1,6,2,,,,9,0,68%,89% (17/19),78% (7/9),0% (0/0),37% (7/19),62% (8/13),50% (2/4),86% (24/28),47% (15/32),65% (39/60),8,0,100% (6/6),40% (2/5),73% (8/11),"['5', '3']","['1', '0']",[],[],[],1.13
25.09.2024,Oliveira G.,2,7^7,6,,,,9,4,68%,89% (41/46),59% (13/22),0% (0/0),28% (13/46),36% (9/25),25% (1/4),79% (54/68),31% (22/71),55% (76/139),5,0,100% (11/11),9% (1/11),55% (12/22),[],"['1', '0']",[],[],[],2.85
25.09.2024,Zhukayev B.,0,6^5,4,,,,12,1,65%,72% (33/46),64% (16/25),75% (3/4),11% (5/46),41% (9/22),0% (0/0),69% (49/71),21% (14/68),45% (63/139),5,3,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],1.39
ITF MEN - SINGLES :  M25 Takasaki (Japan),hard,header
ITF MEN - SINGLES :  M25 Sapporo 2 (Japan),hard,header
ITF MEN - SINGLES :  M25 Sapporo (Japan),hard,header
ITF MEN - SINGLES :  M25 Hong Kong (Hong Kong),hard,header
ITF MEN - SINGLES :  M25 Brazzaville 2 (Republic of the Congo),clay,header
ITF MEN - SINGLES :  M25 Brazzaville (Republic of the Congo),clay,header
ITF MEN - SINGLES :  M25 Porto (Portugal),hard,header
ITF MEN - SINGLES :  M25 Castelo Branco (Portugal),hard,header
CHALLENGER MEN - SINGLES :  Braunschweig (Germany) - Qualification,clay,header
07.07.2024,Oliveira G.,0,3,6^3,,,,2,5,58%,59% (27/46),58% (19/33),67% (4/6),16% (7/44),35% (7/20),33% (1/3),58% (46/79),22% (14/64),42% (60/143),3,2,80% (8/10),9% (1/11),43% (9/21),[],"['3', '1']",[],[],[],1.58
07.07.2024,Gentzsch T.,2,6,7^7,,,,12,1,69%,84% (37/44),65% (13/20),67% (2/3),41% (19/46),42% (14/33),33% (2/6),78% (50/64),42% (33/79),58% (83/143),7,0,91% (10/11),20% (2/10),57% (12/21),"['2', '0']","['3', '4']",[],[],[],2.31
CHALLENGER MEN - SINGLES :  Karlsruhe (Germany),clay,header
02.07.2024,Oliveira G.,0,3,2,,,,2,1,75%,50% (18/36),50% (6/12),20% (1/5),12% (3/26),41% (7/17),100% (1/1),50% (24/48),23% (10/43),37% (34/91),2,1,50% (4/8),11% (1/9),29% (5/17),[],"['2', '0']",[],[],[],1.66
02.07.2024,Gavrielides L.,2,6,6,,,,1,1,60%,88% (23/26),59% (10/17),0% (0/1),50% (18/36),50% (6/12),80% (4/5),77% (33/43),50% (24/48),63% (57/91),8,0,89% (8/9),50% (4/8),71% (12/17),"['3', '1']","['1', '2', '3', '2', '5', '2']",[],[],[],2.16
CHALLENGER MEN - SINGLES :  Porto Alegre (Brazil),clay,header
30.04.2024,Oliveira G.,1,5,6,5,,,3,7,62%,65% (51/79),37% (18/49),70% (16/23),35% (20/57),48% (22/46),60% (6/10),54% (70/130),41% (42/103),48% (112/233),4,1,59% (10/17),35% (6/17),47% (16/34),"['1', '0']","['1', '0', '3', '0']","['1', '0', '3', '0', '5', '2']",[],[],1.46
30.04.2024,Dutra Da Silva D.,2,7,4,7,,,3,2,55%,65% (37/57),52% (24/46),40% (4/10),35% (28/79),63% (31/49),30% (7/23),59% (61/103),46% (60/130),52% (121/233),6,0,65% (11/17),41% (7/17),53% (18/34),"['5', '5', '7', '5']","['2', '4']","['2', '4', '3', '5', '5', '5', '7', '5']",[],[],2.62
CHALLENGER MEN - SINGLES :  Savannah (USA),clay,header
23.04.2024,Oliveira G.,0,5,1,,,,0,5,57%,55% (17/31),48% (11/23),43% (3/7),26% (10/39),48% (12/25),50% (1/2),52% (28/54),34% (22/64),42% (50/118),3,1,56% (5/9),10% (1/10),32% (6/19),"['3', '2']",[],[],[],[],2.66
